node_1|node_2|edge|chunk_id
bộ luật lao động|hiến pháp nước cộng hòa xã hội chủ nghĩa việt nam|is based on|d9bdfa80d6b5421b926e99e5861d1406
bộ luật lao động|quốc hội|is issued by|d9bdfa80d6b5421b926e99e5861d1406
bộ luật lao động|người lao động|regulates standards for labor; rights, obligations, responsibilities of workers|d9bdfa80d6b5421b926e99e5861d1406
bộ luật lao động|người sử dụng lao động|regulates standards for labor; rights, obligations, responsibilities of employers|d9bdfa80d6b5421b926e99e5861d1406
bộ luật lao động|tổ chức đại diện người lao động tại cơ sở|regulates standards for labor; rights, obligations, responsibilities of labor representation organizations at grassroots level|d9bdfa80d6b5421b926e99e5861d1406
bộ luật lao động|tổ chức đại diện người sử dụng lao động|regulates standards for labor; rights, obligations, responsibilities of labor representation organizations for employers|d9bdfa80d6b5421b926e99e5861d1406
bộ luật lao động|quản lý nhà nước về lao động|regulates standards for labor; state management on labor|d9bdfa80d6b5421b926e99e5861d1406
người lao động|người học nghề|đối tượng áp dụng|9437f14897734e0eaa719ebaae2547ae
người lao động|người tập nghề|đối tượng áp dụng|9437f14897734e0eaa719ebaae2547ae
người lao động|người làm việc không có quan hệ lao động|đối tượng áp dụng|9437f14897734e0eaa719ebaae2547ae
người sử dụng lao động|lao động|is used by|d266b5405d144acc9adaab737afb8840
người lao động nước ngoài|việt nam|làm việc tại|122c4a2e8e7f4f3e9d81333b09127b92
cơ quan, tổ chức, cá nhân khác|quan hệ lao động|có liên quan trực tiếp đến|122c4a2e8e7f4f3e9d81333b09127b92
bộ luật|người lao động|defines|64d9440d8fa143ffabaa7eaaf8a70092
người lao động|người sử dụng lao động|works for|64d9440d8fa143ffabaa7eaaf8a70092
người lao động|thỏa thuận|works under|64d9440d8fa143ffabaa7eaaf8a70092
người lao động|được trả lương|receives|64d9440d8fa143ffabaa7eaaf8a70092
người lao động|chịu sự quản lý|is managed by|64d9440d8fa143ffabaa7eaaf8a70092
người lao động|chịu sự điều hành|is supervised by|64d9440d8fa143ffabaa7eaaf8a70092
người lao động|chịu sự giám sát|is monitored by|64d9440d8fa143ffabaa7eaaf8a70092
người lao động|độ tuổi tối thiểu|minimum age requirement|64d9440d8fa143ffabaa7eaaf8a70092
người sử dụng lao động|doanh nghiệp, cơ quan, tổ chức, hợp tác xã, hộ gia đình, cá nhân có thuê mướn|người sử dụng lao động được xác định là có thể là doanh nghiệp, cơ quan, tổ chức, hợp tác xã, hộ gia đình, cá nhân có thuê mướn|4e5207b731ad400b90f6f7d9adead35b
người sử dụng lao động|cơ quan nhà nước|cơ quan nhà nước có thẩm quyền liên quan đến quan hệ lao động|4e5207b731ad400b90f6f7d9adead35b
người sử dụng lao động|tổ chức đại diện người sử dụng lao động|người sử dụng lao động cần có tổ chức đại diện để đại diện và bảo vệ quyền, lợi ích hợp pháp của họ trong quan hệ lao động|4e5207b731ad400b90f6f7d9adead35b
tổ chức đại diện người lao động tại cơ sở|tổ chức được thành lập trên cơ sở tự nguyện của người lao động tại một đơn vị sử dụng lao động|tổ chức đại diện người lao động tại cơ sở được thành lập trên cơ sở tự nguyện với mục đích bảo vệ quyền và lợi ích hợp pháp của người lao động|4e5207b731ad400b90f6f7d9adead35b
tổ chức đại diện người lao động tại cơ sở|công đoàn cơ sở|tổ chức đại diện người lao động tại cơ sở bao gồm công đoàn cơ sở|4e5207b731ad400b90f6f7d9adead35b
tổ chức đại diện người lao động tại cơ sở|tổ chức của người lao động tại doanh nghiệp|tổ chức đại diện người lao động tại cơ sở cũng bao gồm tổ chức của người lao động tại doanh nghiệp|4e5207b731ad400b90f6f7d9adead35b
tổ chức đại diện người sử dụng lao động|tổ chức được thành lập hợp pháp|tổ chức đại diện người sử dụng lao động cần được thành lập hợp pháp|4e5207b731ad400b90f6f7d9adead35b
quan hệ lao động|người lao động|quan hệ lao động có liên quan đến người lao động|4e5207b731ad400b90f6f7d9adead35b
quan hệ lao động|người sử dụng lao động|quan hệ lao động có liên quan đến người sử dụng lao động|4e5207b731ad400b90f6f7d9adead35b
quan hệ lao động|cơ quan nhà nước|quan hệ lao động có liên quan đến cơ quan nhà nước|4e5207b731ad400b90f6f7d9adead35b
quan hệ lao động|quy định của pháp luật về lao động|quan hệ lao động phụ thuộc vào quy định của pháp luật về lao động|4e5207b731ad400b90f6f7d9adead35b
người làm việc không có quan hệ lao động|hợp đồng lao động|người làm việc không có quan hệ lao động không trên cơ sở thuê mướn bằng hợp đồng lao động|4e5207b731ad400b90f6f7d9adead35b
cưỡng bức lao động|người lao động|cưỡng bức lao động liên quan đến người lao động|4e5207b731ad400b90f6f7d9adead35b
phân biệt đối xử trong lao động|hành vi phân biệt, loại trừ hoặc ưu tiên dựa trên chủng tộc, màu da, nguồn gốc quốc gia hoặc nguồn gốc xã hội, dân tộc, giới tính, độ tuổi, tình trạng thai sản, tình trạng hôn nhân, tôn giáo, tín ngưỡng, chính kiến, khuyết tật, trách nhiệm gia đình hoặc trên cơ sở tình trạng nhiễm hiv hoặc vì lý do thành lập, gia nhập và hoạt động công đoàn, tổ chức của người lao động tại doanh nghiệp có tác động làm ảnh hưởng đến bình đẳng về cơ hội việc làm hoặc nghề nghiệp|định nghĩa và phạm vi của hành vi phân biệt đối xử trong lao động|9bb702c38ebd4a65b9c588bbd69dcd64
phân biệt đối xử trong lao động|việc phân biệt, loại trừ hoặc ưu tiên xuất phát từ yêu cầu đặc thù của công việc và các hành vi duy trì, bảo vệ việc làm cho người lao động dễ bị tổn thương thì không bị xem là phân biệt đối xử|đưa ra ví dụ cụ thể và biện minh về phân biệt đối xử trong lao động|9bb702c38ebd4a65b9c588bbd69dcd64
quấy rối tình dục tại nơi làm việc|hành vi có tính chất tình dục của bất kỳ người nào đối với người khác tại nơi làm việc mà không được người đó mong muốn hoặc chấp nhận|định nghĩa và phạm vi của hành vi quấy rối tình dục tại nơi làm việc|9bb702c38ebd4a65b9c588bbd69dcd64
nơi làm việc|bất kỳ nơi nào mà người lao động thực tế làm việc theo thỏa thuận hoặc phân công của người sử dụng lao động|định nghĩa nơi làm việc|9bb702c38ebd4a65b9c588bbd69dcd64
chính sách của nhà nước về lao động|quyền và lợi ích hợp pháp|Bảo đảm quyền và lợi ích hợp pháp, chính đáng của người lao động, người làm việc không có quan hệ lao động|fe797c6d262b460db5181b8d5b8e887e
chính sách của nhà nước về lao động|người lao động|Bảo đảm quyền và lợi ích hợp pháp, chính đáng của người lao động, người làm việc không có quan hệ lao động|fe797c6d262b460db5181b8d5b8e887e
chính sách của nhà nước về lao động|người làm việc không có quan hệ lao động|Bảo đảm quyền và lợi ích hợp pháp, chính đáng của người lao động, người làm việc không có quan hệ lao động|fe797c6d262b460db5181b8d5b8e887e
chính sách của nhà nước về lao động|người sử dụng lao động|Bảo đảm quyền và lợi ích hợp pháp của người sử dụng lao động, quản lý lao động đúng pháp luật, dân chủ, công bằng, văn minh và nâng cao trách nhiệm xã hội|fe797c6d262b460db5181b8d5b8e887e
chính sách của nhà nước về lao động|quản lý lao động|Bảo đảm quyền và lợi ích hợp pháp của người sử dụng lao động, quản lý lao động đúng pháp luật, dân chủ, công bằng, văn minh và nâng cao trách nhiệm xã hội|fe797c6d262b460db5181b8d5b8e887e
chính sách của nhà nước về lao động|điều kiện thuận lợi|Tạo điều kiện thuận lợi đối với hoạt động tạo việc làm, tự tạo việc làm, dạy nghề và học nghề để có việc làm|fe797c6d262b460db5181b8d5b8e887e
chính sách của nhà nước về lao động|việc làm|Tạo điều kiện thuận lợi đối với hoạt động tạo việc làm, tự tạo việc làm, dạy nghề và học nghề để có việc làm|fe797c6d262b460db5181b8d5b8e887e
chính sách của nhà nước về lao động|nguồn nhân lực|Có chính sách phát triển, phân bố nguồn nhân lực; nâng cao năng suất lao động; đào tạo, bồi dưỡng và nâng cao trình độ, kỹ năng nghề cho người lao động|fe797c6d262b460db5181b8d5b8e887e
chính sách của nhà nước về lao động|năng suất lao động|Có chính sách phát triển, phân bố nguồn nhân lực; nâng cao năng suất lao động; đào tạo, bồi dưỡng và nâng cao trình độ, kỹ năng nghề cho người lao động|fe797c6d262b460db5181b8d5b8e887e
chính sách của nhà nước về lao động|kỹ năng nghề|Có chính sách phát triển, phân bố nguồn nhân lực; nâng cao năng suất lao động; đào tạo, bồi dưỡng và nâng cao trình độ, kỹ năng nghề cho người lao động|fe797c6d262b460db5181b8d5b8e887e
chính sách của nhà nước về lao động|đào tạo, bồi dưỡng|Có chính sách phát triển, phân bố nguồn nhân lực; nâng cao năng suất lao động; đào tạo, bồi dưỡng và nâng cao trình độ, kỹ năng nghề cho người lao động|fe797c6d262b460db5181b8d5b8e887e
chính sách của nhà nước về lao động|trình độ chuyên môn|ưu đãi đối với người lao động có trình độ chuyên môn, kỹ thuật cao đáp ứng yêu cầu của cách mạng công nghiệp, sự nghiệp công nghiệp hóa, hiện đại hóa đất nước|fe797c6d262b460db5181b8d5b8e887e
chính sách của nhà nước về lao động|kỹ thuật cao|ưu đãi đối với người lao động có trình độ chuyên môn, kỹ thuật cao đáp ứng yêu cầu của cách mạng công nghiệp, sự nghiệp công nghiệp hóa, hiện đại hóa đất nước|fe797c6d262b460db5181b8d5b8e887e
chính sách của nhà nước về lao động|cách mạng công nghiệp|ưu đãi đối với người lao động có trình độ chuyên môn, kỹ thuật cao đáp ứng yêu cầu của cách mạng công nghiệp, sự nghiệp công nghiệp hóa, hiện đại hóa đất nước|fe797c6d262b460db5181b8d5b8e887e
chính sách của nhà nước về lao động|sự nghiệp công nghiệp hóa|ưu đãi đối với người lao động có trình độ chuyên môn, kỹ thuật cao đáp ứng yêu cầu của cách mạng công nghiệp, sự nghiệp công nghiệp hóa, hiện đại hóa đất nước|fe797c6d262b460db5181b8d5b8e887e
chính sách của nhà nước về lao động|hiện đại hóa đất nước|ưu đãi đối với người lao động có trình độ chuyên môn, kỹ thuật cao đáp ứng yêu cầu của cách mạng công nghiệp, sự nghiệp công nghiệp hóa, hiện đại hóa đất nước|fe797c6d262b460db5181b8d5b8e887e
chính sách phát triển thị trường lao động|đa dạng các hình thức kết nối cung, cầu lao động|chính sách phát triển thị trường lao động đa dạng các hình thức kết nối cung, cầu lao động|afc85c47864340a0b905cfc1beecfffe
chính sách phát triển thị trường lao động|người lao động|chính sách phát triển thị trường lao động thúc đẩy người lao động và người sử dụng lao động đối thoại, thương lượng tập thể, xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định|afc85c47864340a0b905cfc1beecfffe
người sử dụng lao động|người lao động|thúc đẩy người lao động và người sử dụng lao động đối thoại, thương lượng tập thể, xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định|afc85c47864340a0b905cfc1beecfffe
chính sách phát triển thị trường lao động|bảo đảm bình đẳng giới|chính sách phát triển thị trường lao động bảo đảm bình đẳng giới|afc85c47864340a0b905cfc1beecfffe
chính sách phát triển thị trường lao động|lao động nữ|chính sách phát triển thị trường lao động bảo đảm bình đẳng giới; quy định chế độ lao động và chính sách xã hội nhằm bảo vệ lao động nữ|afc85c47864340a0b905cfc1beecfffe
chính sách phát triển thị trường lao động|lao động là người khuyết tật|chính sách phát triển thị trường lao động bảo đảm bình đẳng giới; quy định chế độ lao động và chính sách xã hội nhằm bảo vệ lao động là người khuyết tật|afc85c47864340a0b905cfc1beecfffe
